model,dropout,type,round,sparsity,remaining_percent,test_accuracy,early_stop_epoch
Conv2,False,winning_ticket,0,0.0,100.0,71.56,25
Conv2,False,winning_ticket,1,19.999999999999996,80.0,70.82,25
Conv2,False,winning_ticket,2,35.999999999999986,64.00000000000001,70.2,25
Conv2,False,winning_ticket,3,48.79999999999999,51.20000000000001,70.52,25
Conv2,False,winning_ticket,4,59.03999999999999,40.96000000000001,70.02,25
Conv2,False,winning_ticket,5,67.23199999999999,32.76800000000001,70.06,25
Conv2,False,winning_ticket,6,73.78559999999999,26.21440000000001,70.5,25
Conv2,False,winning_ticket,7,79.02847999999999,20.97152000000001,69.92,25
Conv2,False,winning_ticket,8,83.22278399999999,16.77721600000001,69.84,25
Conv2,False,winning_ticket,9,86.57822719999999,13.421772800000006,69.92,25
Conv2,False,winning_ticket,10,89.26258175999999,10.737418240000006,69.58,25
Conv2,False,winning_ticket,11,91.410065408,8.589934592000006,69.46,25
Conv2,False,winning_ticket,12,93.1280523264,6.871947673600004,69.46,25
Conv2,False,winning_ticket,13,94.50244186112,5.497558138880003,68.06,25
Conv2,False,winning_ticket,14,95.601953488896,4.3980465111040035,68.8,25
Conv2,False,random_reinit,0,0.0,100.0,68.52,25
Conv2,False,random_reinit,1,19.999999999999996,80.0,68.96,25
Conv2,False,random_reinit,2,35.999999999999986,64.00000000000001,69.36,25
Conv2,False,random_reinit,3,48.79999999999999,51.20000000000001,69.94,25
Conv2,False,random_reinit,4,59.03999999999999,40.96000000000001,69.42,25
Conv2,False,random_reinit,5,67.23199999999999,32.76800000000001,69.64,25
Conv2,False,random_reinit,6,73.78559999999999,26.21440000000001,69.78,25
Conv2,False,random_reinit,7,79.02847999999999,20.97152000000001,69.52,25
Conv2,False,random_reinit,8,83.22278399999999,16.77721600000001,69.12,25
Conv2,False,random_reinit,9,86.57822719999999,13.421772800000006,69.64,25
Conv2,False,random_reinit,10,89.26258175999999,10.737418240000006,70.06,25
Conv2,False,random_reinit,11,91.410065408,8.589934592000006,69.18,25
Conv2,False,random_reinit,12,93.1280523264,6.871947673600004,69.04,25
Conv2,False,random_reinit,13,94.50244186112,5.497558138880003,69.44,25
Conv2,False,random_reinit,14,95.601953488896,4.3980465111040035,67.76,25
Conv4,False,winning_ticket,0,0.0,100.0,76.5,6
Conv4,False,winning_ticket,1,19.999999999999996,80.0,76.52,6
Conv4,False,winning_ticket,2,35.999999999999986,64.00000000000001,77.2,6
Conv4,False,winning_ticket,3,48.79999999999999,51.20000000000001,76.6,5
Conv4,False,winning_ticket,4,59.03999999999999,40.96000000000001,76.9,4
Conv4,False,winning_ticket,5,67.23199999999999,32.76800000000001,76.7,4
Conv4,False,winning_ticket,6,73.78559999999999,26.21440000000001,76.72,4
Conv4,False,winning_ticket,7,79.02847999999999,20.97152000000001,75.92,4
