model,dropout,type,round,remaining_percent,best_val_acc,early_stop_epoch,final_train_loss,final_val_loss
Conv2,False,random_reinit,0,100.0,70.96,4,0.01609684463547698,2.509552517107555
Conv2,False,random_reinit,1,80.09561515110933,70.88,5,0.026237137967953458,2.4767551592418124
Conv2,False,random_reinit,2,64.16254668690385,71.06,5,0.01367285351115667,2.5331030097745715
Conv2,False,random_reinit,3,51.40748924899186,70.5,4,0.0236850768434039,2.3783943752447763
Conv2,False,random_reinit,4,41.195682298409295,71.14,5,0.02652270401001442,2.2903452700092677
Conv2,False,random_reinit,5,33.019266252994655,71.32,5,0.020410455151305844,2.2970330246857236
Conv2,False,random_reinit,6,26.47186974539827,70.04,9,0.030341767577299228,2.3331872054508755
Conv2,False,random_reinit,7,21.228311980119933,69.98,25,0.024316165358138582,2.2539849252927873
Conv2,False,random_reinit,8,17.02835066886895,68.74,25,0.032888107690649725,2.292363324335643
Conv2,False,random_reinit,9,13.663801281192804,68.42,25,0.0504150400881966,2.047514479075159
Conv2,False,random_reinit,10,10.968074341919259,67.52,25,0.0866384343256553,1.8521515769617898
Conv2,False,random_reinit,11,8.807758768209753,67.32,25,0.1375040263781945,1.582959967000144
Conv2,False,random_reinit,12,7.076158244423612,66.98,25,0.286900867631038,1.298706937403906
Conv2,False,random_reinit,13,5.687897117688198,66.74,25,0.45426915874083834,1.1193626061791466
Conv2,False,random_reinit,14,4.574572563724834,65.08,25,0.5697563318411509,1.0941506446827025
Conv4,False,winning_ticket,0,100.0,76.98,2,0.02233513224159833,1.6271878437449534
Conv4,False,winning_ticket,1,81.08167176902167,77.88,2,0.02032921663939487,1.6473117999377704
Conv4,False,winning_ticket,2,65.83881231690903,76.72,2,0.020771171943439793,1.7353054689509528
Conv4,False,winning_ticket,3,53.547181388720276,76.74,2,0.019706051402550655,1.8011937992913383
Conv4,False,winning_ticket,4,43.626248647436064,76.6,1,0.016870060397603085,1.816229102157411
Conv4,False,winning_ticket,5,35.61057540049088,76.9,1,0.011287282462998215,1.8973637194860549
Conv4,False,winning_ticket,6,29.12713441186561,76.2,1,0.011260311606692995,1.8665842314561207
Conv4,False,winning_ticket,7,23.87650596447705,76.16,1,0.008580293134543657,1.9857060050680524
Conv4,False,winning_ticket,8,19.618445013327705,77.1,1,0.02913406553145656,1.7127562686800957
Conv4,False,winning_ticket,9,16.16025243461508,75.82,1,0.0046338704164227236,2.184719594461577
Conv4,False,winning_ticket,10,13.347166873400015,76.46,1,0.003883180926369581,1.9035772198722476
Conv4,False,winning_ticket,11,11.054735953128711,75.86,1,2.165614851188972e-05,2.3082794965732667
Conv4,False,winning_ticket,12,9.183084373597952,75.08,1,0.012477976403218538,2.063571328918139
Conv4,False,winning_ticket,13,7.651841796204903,74.88,1,7.676039494253927e-05,2.3329601223979677
Conv4,False,winning_ticket,14,6.396307830355494,74.62,1,0.010380975673208013,2.2631699598970867
Conv4,False,random_reinit,0,100.0,77.04,3,0.024643708880796717,1.6587395015217008
Conv4,False,random_reinit,1,81.08167176902167,75.54,3,0.02404574043903267,1.9481787702866964
Conv4,False,random_reinit,2,65.83881231690903,75.96,3,0.026220931859260114,1.8153890314556302
Conv4,False,random_reinit,3,53.547181388720276,73.96,5,0.02982482594201186,1.8310757868346714
